,CAPE,CAPE_Tv,CIN,CIN_Tv,Date,Station,Time
196,0.0,0.0,0.0,0.0,1992-01-03,LCH,0
197,0.0,0.0,0.0,0.0,1992-01-03,LIX,0
198,0.0,0.0,0.0,0.0,1992-01-03,LZK,0
199,0.0,0.0,0.0,0.0,1992-01-03,MAF,0
200,0.0,0.0,-4.79839485718107,-1.2361207164088805,1992-01-03,MFR,0
201,0.0,0.0,-435.637072377057,-414.9200796473632,1992-01-03,NKX,0
202,0.0,0.0,0.0,0.0,1992-01-03,OAK,0
203,0.0,0.0,0.0,0.0,1992-01-03,OUN,0
204,0.0,0.0,0.0,0.0,1992-01-03,PIT,0
205,0.0,0.0,0.0,0.0,1992-01-03,RAP,0
206,0.0,0.0,0.0,0.0,1992-01-03,SLC,0
207,50.49299589196903,110.65376231652235,-68.47123701626691,-1.1947468662995957,1992-01-03,TBW,0
208,0.0,0.0,-144.84153468120346,-37.462934148077316,1992-01-03,TLH,0
209,0.0,0.0,0.0,0.0,1992-01-03,TOP,0
210,0.0,0.0,0.0,0.0,1992-01-03,TUS,0
211,0.0,0.0,0.0,0.0,1992-01-03,UIL,0
212,0.0,0.0,0.0,0.0,1992-01-03,WAL,0
213,0.0,0.0,0.0,0.0,1992-01-03,WMW,0
214,0.0,0.0,-201.86669832492862,-201.14155208651678,1992-01-03,WPL,0
215,0.0,0.0,0.0,0.0,1992-01-03,YMO,0
216,0.0,0.0,0.0,0.0,1992-01-03,YQI,0
217,0.0,0.0,0.0,0.0,1992-01-03,ABQ,12
218,0.0,0.0,0.0,0.0,1992-01-03,AMA,12
219,0.0,0.0,0.0,0.0,1992-01-03,BIS,12
220,0.0,0.0,0.0,0.0,1992-01-03,BNA,12
221,0.0,0.0,0.0,0.0,1992-01-03,BOI,12
222,0.0,0.0,0.0,0.0,1992-01-03,BRO,12
223,0.0,0.0,0.0,0.0,1992-01-03,BUF,12
224,0.0,0.0,0.0,0.0,1992-01-03,CAR,12
225,0.0,0.0,0.0,0.0,1992-01-03,CHH,12
226,0.11322680846394699,3.341341620797271,0.0,0.0,1992-01-03,CHS,12
227,0.0,0.0,0.0,0.0,1992-01-03,CRP,12
228,0.0,0.0,0.0,0.0,1992-01-03,DDC,12
229,0.0,0.0,0.0,0.0,1992-01-03,DNR,12
230,0.0,0.0,0.0,0.0,1992-01-03,DRT,12
231,0.0,0.0,0.0,0.0,1992-01-03,GGW,12
232,0.0,0.0,0.0,0.0,1992-01-03,GJT,12
233,0.0,0.0,0.0,0.0,1992-01-03,GRB,12
234,0.0,0.0,0.0,0.0,1992-01-03,GSO,12
235,0.0,0.0,-2.5579987115738203,-1.1599436916340566,1992-01-03,IAD,12
236,0.0,0.0,0.0,0.0,1992-01-03,INL,12
237,0.0,0.0,0.0,0.0,1992-01-03,JAN,12
238,0.0,0.0,0.0,0.0,1992-01-03,LBF,12
239,0.0,0.0,0.0,0.0,1992-01-03,LCH,12
240,0.0,0.0,0.0,0.0,1992-01-03,LIX,12
241,0.0,0.0,0.0,0.0,1992-01-03,LZK,12
242,0.0,0.0,0.0,0.0,1992-01-03,MAF,12
243,0.0,0.0,0.0,0.0,1992-01-03,MFR,12
244,0.0,0.0,0.0,0.0,1992-01-03,NKX,12
245,0.0,0.0,0.0,0.0,1992-01-03,OAK,12
246,0.0,0.0,0.0,0.0,1992-01-03,OUN,12
247,0.0,0.0,0.0,0.0,1992-01-03,PIT,12
248,0.0,0.0,0.0,0.0,1992-01-03,RAP,12
249,0.0,0.0,0.0,0.0,1992-01-03,SLC,12
250,0.0,0.0,0.0,0.0,1992-01-03,TBW,12
251,0.004279517784279644,0.0,-5.77327008917208,0.0,1992-01-03,TLH,12
252,0.0,0.0,-161.69778763516607,-153.73165339686517,1992-01-03,TOP,12
253,0.0,0.0,0.0,0.0,1992-01-03,TUS,12
254,0.0,0.0,0.0,0.0,1992-01-03,UIL,12
255,0.0,0.0,0.0,0.0,1992-01-03,WAL,12
256,0.0,0.0,0.0,0.0,1992-01-03,WMW,12
257,0.0,0.0,0.0,0.0,1992-01-03,WPL,12
258,0.0,0.0,0.0,0.0,1992-01-03,YMO,12
259,0.0,0.0,0.0,0.0,1992-01-03,YQI,12
260,0.0,0.0,0.0,0.0,1992-01-04,ABQ,0
261,0.0,0.0,0.0,0.0,1992-01-04,ALB,0
262,0.0,0.0,-161.07780393660943,-153.10284436763507,1992-01-04,AMA,0
263,0.0,0.0,0.0,0.0,1992-01-04,BIS,0
264,0.0,0.0,-0.32808961926468566,0.0,1992-01-04,BNA,0
265,0.0,0.0,-58.30057978656387,-51.08280052156651,1992-01-04,BOI,0
266,0.0,0.0,0.0,0.0,1992-01-04,BRO,0
267,0.0,0.0,0.0,0.0,1992-01-04,BUF,0
268,0.0,0.0,0.0,0.0,1992-01-04,CAR,0
269,0.0,0.0,0.0,0.0,1992-01-04,CHH,0
270,0.0,0.0,0.0,0.0,1992-01-04,CHS,0
271,0.0,0.0,0.0,0.0,1992-01-04,CRP,0
272,0.0,0.0,0.0,0.0,1992-01-04,DDC,0
273,0.0,0.0,0.0,0.0,1992-01-04,DNR,0
274,0.0,0.0,0.0,0.0,1992-01-04,DRT,0
275,0.0,0.0,0.0,0.0,1992-01-04,GGW,0
276,0.0,0.0,0.0,0.0,1992-01-04,GJT,0
277,0.0,0.0,0.0,0.0,1992-01-04,GRB,0
278,0.0,0.0,0.0,0.0,1992-01-04,GSO,0
279,0.0,0.0,0.0,0.0,1992-01-04,IAD,0
280,0.0,0.0,0.0,0.0,1992-01-04,INL,0
281,0.0,0.0,0.0,0.0,1992-01-04,JAN,0
282,0.0,0.0,-212.75904747742243,-201.36919365104393,1992-01-04,LBF,0
283,0.0,0.0,0.0,0.0,1992-01-04,LCH,0
284,0.0,0.0,0.0,0.0,1992-01-04,LIX,0
285,0.0,0.0,0.0,0.0,1992-01-04,LZK,0
286,0.0,0.0,0.0,0.0,1992-01-04,MAF,0
287,0.0,0.0,0.0,0.0,1992-01-04,MFR,0
288,632.3203497367201,760.3885939013572,-0.5989592111410996,0.0,1992-01-04,NKX,0
289,0.0,0.0,-16.94239960098289,-2.071693197572653,1992-01-04,OAK,0
290,0.0,0.0,0.0,0.0,1992-01-04,OUN,0
291,0.0,0.0,0.0,0.0,1992-01-04,PIT,0
292,0.0,0.0,0.0,0.0,1992-01-04,RAP,0
293,0.0,0.0,-15.307307404634553,-12.832229216132346,1992-01-04,SLC,0
294,0.0,0.0,0.0,0.0,1992-01-04,TBW,0
295,1.7901398109166446,6.88420011203292,-19.34002417357096,0.0,1992-01-04,TLH,0
296,0.0,0.0,0.0,0.0,1992-01-04,TOP,0
297,0.0,0.0,-56.15828452186306,-29.344462611442225,1992-01-04,TUS,0
298,81.7946786863162,96.13978791169528,-105.62710972509868,-35.10294172809925,1992-01-04,UIL,0
299,0.0,0.0,-1.7050699832138334,-1.3760390573751463e-15,1992-01-04,WAL,0
300,0.0,0.0,0.0,0.0,1992-01-04,WMW,0
301,0.0,0.0,0.0,0.0,1992-01-04,WPL,0
302,0.0,0.0,0.0,0.0,1992-01-04,YMO,0
